"age_group","report_date","cases","deaths","confirmed_case_hospitalization","cases_cum","death_cum","moving_avg_cases","moving_avg_deaths"
"01-04 years","2020-05-06","4","0","0","83","0","2.71428571428571","0"
"01-04 years","2020-05-07","5","0","0","88","0","3","0"
"01-04 years","2020-05-08","2","0","0","90","0","2.42857142857142","0"
"01-04 years","2020-05-09","0","0","0","90","0","2.42857142857142","0"
"01-04 years","2020-05-10","3","0","0","93","0","2.85714285714285","0"
"01-04 years","2020-05-11","5","0","0","98","0","3.28571428571428","0"
"01-04 years","2020-05-12","5","0","0","103","0","3.42857142857142","0"
"01-04 years","2020-05-13","5","0","0","108","0","3.57142857142857","0"
"01-04 years","2020-05-14","0","0","0","108","0","2.85714285714285","0"
"01-04 years","2020-05-15","6","0","0","114","0","3.42857142857142","0"
"01-04 years","2020-05-16","6","0","0","120","0","4.28571428571428","0"
"01-04 years","2020-05-17","1","0","0","121","0","4","0"
"01-04 years","2020-05-18","4","0","0","125","0","3.85714285714285","0"
"01-04 years","2020-05-19","4","0","0","129","0","3.71428571428571","0"
"01-04 years","2020-05-20","3","0","0","132","0","3.42857142857142","0"
"01-04 years","2020-05-21","8","0","0","140","0","4.57142857142857","0"
"01-04 years","2020-05-22","15","0","1","155","0","5.85714285714285","0"
"01-04 years","2020-05-23","8","0","0","163","0","6.14285714285714","0"
"01-04 years","2020-05-24","3","0","0","166","0","6.42857142857143","0"
"01-04 years","2020-05-25","6","0","0","172","0","6.71428571428571","0"
"01-04 years","2020-05-26","5","0","0","177","0","6.85714285714285","0"
"01-04 years","2020-05-27","5","0","0","182","0","7.14285714285714","0"
"01-04 years","2020-05-28","11","0","0","193","0","7.57142857142857","0"
"01-04 years","2020-05-29","8","0","0","201","0","6.57142857142857","0"
"01-04 years","2020-05-30","4","0","0","205","0","6","0"
"01-04 years","2020-05-31","9","0","0","214","0","6.85714285714285","0"
"01-04 years","2020-06-01","9","0","0","223","0","7.28571428571428","0"
"01-04 years","2020-06-02","5","0","0","228","0","7.28571428571428","0"
"01-04 years","2020-06-03","6","0","0","234","0","7.42857142857143","0"
"01-04 years","2020-06-04","6","0","0","240","0","6.71428571428571","0"
"01-04 years","2020-06-05","11","0","1","251","0","7.14285714285714","0"
"01-04 years","2020-06-06","10","0","0","261","0","8","0"
"01-04 years","2020-06-07","7","0","1","268","0","7.71428571428571","0"
"01-04 years","2020-06-08","10","0","0","278","0","7.85714285714285","0"
"01-04 years","2020-06-09","8","0","0","286","0","8.28571428571428","0"
"01-04 years","2020-06-10","13","0","0","299","0","9.28571428571428","0"
"01-04 years","2020-06-11","11","0","0","310","0","10","0"
"01-04 years","2020-06-12","11","0","0","321","0","10","0"
"01-04 years","2020-06-13","11","0","0","332","0","10.1428571428571","0"
"01-04 years","2020-06-14","11","0","0","343","0","10.7142857142857","0"
"01-04 years","2020-06-15","7","0","0","350","0","10.2857142857142","0"
"01-04 years","2020-06-16","11","0","0","361","0","10.7142857142857","0"
"01-04 years","2020-06-17","18","0","0","379","0","11.4285714285714","0"
"01-04 years","2020-06-18","9","0","0","388","0","11.1428571428571","0"
"01-04 years","2020-06-19","15","0","0","403","0","11.7142857142857","0"
"01-04 years","2020-06-20","39","0","0","442","0","15.7142857142857","0"
"01-04 years","2020-06-21","12","0","0","454","0","15.8571428571428","0"
"01-04 years","2020-06-22","16","0","1","470","0","17.1428571428571","0"
"01-04 years","2020-06-23","18","0","0","488","0","18.1428571428571","0"
"01-04 years","2020-06-24","15","0","0","503","0","17.7142857142857","0"
"01-04 years","2020-06-25","27","0","1","530","0","20.2857142857142","0"
"01-04 years","2020-06-26","22","0","2","552","0","21.2857142857142","0"
"01-04 years","2020-06-27","30","0","0","582","0","20","0"
"01-04 years","2020-06-28","20","0","1","602","0","21.1428571428571","0"
"01-04 years","2020-06-29","27","0","0","629","0","22.7142857142857","0"
"01-04 years","2020-06-30","33","0","2","662","0","24.8571428571428","0"
"01-04 years","2020-07-01","45","0","0","707","0","29.1428571428571","0"
"01-04 years","2020-07-02","55","0","1","762","0","33.1428571428571","0"
"01-04 years","2020-07-03","40","0","1","802","0","35.7142857142857","0"
"01-04 years","2020-07-04","36","0","0","838","0","36.5714285714285","0"
"01-04 years","2020-07-05","25","0","1","863","0","37.2857142857142","0"
"01-04 years","2020-07-06","10","0","1","873","0","34.8571428571428","0"
"01-04 years","2020-07-07","39","0","1","912","0","35.7142857142857","0"
"01-04 years","2020-07-08","42","0","0","954","0","35.2857142857142","0"
"01-04 years","2020-07-09","40","0","0","994","0","33.1428571428571","0"
"01-04 years","2020-07-10","47","0","1","1041","0","34.1428571428571","0"
"01-04 years","2020-07-11","55","0","1","1096","0","36.8571428571428","0"
"01-04 years","2020-07-12","39","0","0","1135","0","38.8571428571428","0"
"01-04 years","2020-07-13","34","0","1","1169","0","42.2857142857142","0"
"01-04 years","2020-07-14","25","0","1","1194","0","40.2857142857142","0"
"01-04 years","2020-07-15","49","0","1","1243","0","41.2857142857142","0"
"01-04 years","2020-07-16","45","0","0","1288","0","42","0"
"01-04 years","2020-07-17","53","0","1","1341","0","42.8571428571428","0"
"01-04 years","2020-07-18","52","0","1","1393","0","42.4285714285714","0"
"01-04 years","2020-07-19","48","0","0","1441","0","43.7142857142857","0"
"01-04 years","2020-07-20","22","0","0","1463","0","42","0"
"01-04 years","2020-07-21","52","0","1","1515","0","45.8571428571428","0"
"01-04 years","2020-07-22","35","0","2","1550","0","43.8571428571428","0"
"01-04 years","2020-07-23","51","0","0","1601","0","44.7142857142857","0"
"01-04 years","2020-07-24","62","0","0","1663","0","46","0"
"01-04 years","2020-07-25","50","0","0","1713","0","45.7142857142857","0"
"01-04 years","2020-07-26","63","0","0","1776","0","47.8571428571428","0"
"01-04 years","2020-07-27","40","0","1","1816","0","50.4285714285714","0"
"01-04 years","2020-07-28","55","0","1","1871","0","50.8571428571428","0"
"01-04 years","2020-07-29","32","0","0","1903","0","50.4285714285714","0"
"01-04 years","2020-07-30","47","0","2","1950","0","49.8571428571428","0"
"01-04 years","2020-07-31","44","0","0","1994","0","47.2857142857142","0"
"01-04 years","2020-08-01","64","0","1","2058","0","49.2857142857142","0"
"01-04 years","2020-08-02","45","0","0","2103","0","46.7142857142857","0"
"01-04 years","2020-08-03","32","0","0","2135","0","45.5714285714285","0"
"01-04 years","2020-08-04","19","0","1","2154","0","40.4285714285714","0"
"01-04 years","2020-08-05","36","0","1","2190","0","41","0"
"01-04 years","2020-08-06","48","0","0","2238","0","41.1428571428571","0"
"01-04 years","2020-08-07","45","0","0","2283","0","41.2857142857142","0"
"01-04 years","2020-08-08","50","0","0","2333","0","39.2857142857142","0"
"01-04 years","2020-08-09","22","0","0","2355","0","36","0"
"01-04 years","2020-08-10","26","0","0","2381","0","35.1428571428571","0"
"01-04 years","2020-08-11","53","0","3","2434","0","40","0"
"01-04 years","2020-08-12","42","0","2","2476","0","40.8571428571428","0"
"01-04 years","2020-08-13","38","0","0","2514","0","39.4285714285714","0"
"01-04 years","2020-08-14","32","0","0","2546","0","37.5714285714285","0"
"01-04 years","2020-08-15","42","0","0","2588","0","36.4285714285714","0"
"01-04 years","2020-08-16","29","0","0","2617","0","37.4285714285714","0"
"01-04 years","2020-08-17","24","0","1","2641","0","37.1428571428571","0"
"01-04 years","2020-08-18","39","0","4","2680","0","35.1428571428571","0"
"01-04 years","2020-08-19","23","0","0","2703","0","32.4285714285714","0"
"01-04 years","2020-08-20","41","0","0","2744","0","32.8571428571428","0"
"01-04 years","2020-08-21","51","0","1","2795","0","35.5714285714285","0"
"01-04 years","2020-08-22","34","0","0","2829","0","34.4285714285714","0"
"01-04 years","2020-08-23","23","0","0","2852","0","33.5714285714285","0"
"01-04 years","2020-08-24","34","0","0","2886","0","35","0"
"01-04 years","2020-08-25","24","0","1","2910","0","32.8571428571428","0"
"01-04 years","2020-08-26","19","0","1","2929","0","32.2857142857142","0"
"01-04 years","2020-08-27","28","0","0","2957","0","30.4285714285714","0"
"01-04 years","2020-08-28","24","1","0","2981","1","26.5714285714285","0.14285714285714"
"01-04 years","2020-08-29","41","0","2","3022","1","27.5714285714285","0.14285714285714"
"01-04 years","2020-08-30","20","0","0","3042","1","27.1428571428571","0.14285714285714"
"01-04 years","2020-08-31","13","0","0","3055","1","24.1428571428571","0.14285714285714"
"01-04 years","2020-09-01","32","0","2","3087","1","25.2857142857142","0.14285714285714"
"01-04 years","2020-09-02","25","0","1","3112","1","26.1428571428571","0.14285714285714"
"01-04 years","2020-09-03","15","0","2","3127","1","24.2857142857142","0.14285714285714"
"01-04 years","2020-09-04","19","0","0","3146","1","23.5714285714285","0"
"01-04 years","2020-09-05","19","0","0","3165","1","20.4285714285714","0"
"01-04 years","2020-09-06","15","0","0","3180","1","19.7142857142857","0"
"01-04 years","2020-09-07","4","0","0","3184","1","18.4285714285714","0"
"01-04 years","2020-09-08","9","0","0","3193","1","15.1428571428571","0"
"01-04 years","2020-09-09","10","0","0","3203","1","13","0"
"01-04 years","2020-09-10","17","0","2","3220","1","13.2857142857142","0"
"01-04 years","2020-09-11","15","0","0","3235","1","12.7142857142857","0"
"01-04 years","2020-09-12","27","0","1","3262","1","13.8571428571428","0"
"01-04 years","2020-09-13","16","0","1","3278","1","14","0"
"01-04 years","2020-09-14","13","0","0","3291","1","15.2857142857142","0"
"01-04 years","2020-09-15","13","0","1","3304","1","15.8571428571428","0"
"01-04 years","2020-09-16","25","0","1","3329","1","18","0"
"01-04 years","2020-09-17","17","0","0","3346","1","18","0"
"01-04 years","2020-09-18","20","0","0","3366","1","18.7142857142857","0"
"01-04 years","2020-09-19","29","0","1","3395","1","19","0"
"01-04 years","2020-09-20","13","0","1","3408","1","18.5714285714285","0"
"01-04 years","2020-09-21","11","0","0","3419","1","18.2857142857142","0"
"01-04 years","2020-09-22","8","0","0","3427","1","17.5714285714285","0"
"01-04 years","2020-09-23","15","0","1","3442","1","16.1428571428571","0"
"01-04 years","2020-09-24","22","0","2","3464","1","16.8571428571428","0"
"01-04 years","2020-09-25","17","0","0","3481","1","16.4285714285714","0"
"01-04 years","2020-09-26","17","0","2","3498","1","14.7142857142857","0"
"01-04 years","2020-09-27","7","0","0","3505","1","13.8571428571428","0"
"01-04 years","2020-09-28","10","0","1","3515","1","13.7142857142857","0"
"01-04 years","2020-09-29","7","0","0","3522","1","13.5714285714285","0"
"01-04 years","2020-09-30","11","0","0","3533","1","13","0"
"01-04 years","2020-10-01","16","0","0","3549","1","12.1428571428571","0"
"01-04 years","2020-10-02","20","0","0","3569","1","12.5714285714285","0"
"01-04 years","2020-10-03","7","0","0","3576","1","11.1428571428571","0"
"01-04 years","2020-10-04","14","0","0","3590","1","12.1428571428571","0"
"01-04 years","2020-10-05","10","0","1","3600","1","12.1428571428571","0"
"01-04 years","2020-10-06","8","0","0","3608","1","12.2857142857142","0"
"01-04 years","2020-10-07","12","0","0","3620","1","12.4285714285714","0"
"01-04 years","2020-10-08","18","0","0","3638","1","12.7142857142857","0"
"01-04 years","2020-10-09","20","0","0","3658","1","12.7142857142857","0"
"01-04 years","2020-10-10","23","0","0","3681","1","15","0"
"01-04 years","2020-10-11","15","0","0","3696","1","15.1428571428571","0"
"01-04 years","2020-10-12","8","0","0","3704","1","14.8571428571428","0"
"01-04 years","2020-10-13","3","0","0","3707","1","14.1428571428571","0"
"01-04 years","2020-10-14","8","0","0","3715","1","13.5714285714285","0"
"01-04 years","2020-10-15","24","0","0","3739","1","14.4285714285714","0"
"01-04 years","2020-10-16","32","0","1","3771","1","16.1428571428571","0"
"01-04 years","2020-10-17","20","0","0","3791","1","15.7142857142857","0"
"01-04 years","2020-10-18","20","0","0","3811","1","16.4285714285714","0"
"01-04 years","2020-10-19","6","0","1","3817","1","16.1428571428571","0"
"01-04 years","2020-10-20","12","0","0","3829","1","17.4285714285714","0"
"01-04 years","2020-10-21","15","0","0","3844","1","18.4285714285714","0"
"01-04 years","2020-10-22","26","0","0","3870","1","18.7142857142857","0"
"01-04 years","2020-10-23","24","0","0","3894","1","17.5714285714285","0"
"01-04 years","2020-10-24","19","0","1","3913","1","17.4285714285714","0"
"01-04 years","2020-10-25","15","0","0","3928","1","16.7142857142857","0"
"01-04 years","2020-10-26","9","0","0","3937","1","17.1428571428571","0"
"01-04 years","2020-10-27","19","0","2","3956","1","18.1428571428571","0"
"01-04 years","2020-10-28","14","0","0","3970","1","18","0"
"01-04 years","2020-10-29","21","0","0","3991","1","17.2857142857142","0"
"01-04 years","2020-10-30","16","0","0","4007","1","16.1428571428571","0"
"01-04 years","2020-10-31","20","0","2","4027","1","16.2857142857142","0"
"01-04 years","2020-11-01","18","0","0","4045","1","16.7142857142857","0"
"01-04 years","2020-11-02","15","0","1","4060","1","17.5714285714285","0"
"01-04 years","2020-11-03","26","0","0","4086","1","18.5714285714285","0"
"01-04 years","2020-11-04","16","0","0","4102","1","18.8571428571428","0"
"01-04 years","2020-11-05","17","0","0","4119","1","18.2857142857142","0"
"01-04 years","2020-11-06","14","0","0","4133","1","18","0"
"01-04 years","2020-11-07","26","0","0","4159","1","18.8571428571428","0"
"01-04 years","2020-11-08","11","0","0","4170","1","17.8571428571428","0"
"01-04 years","2020-11-09","8","0","1","4178","1","16.8571428571428","0"
"01-04 years","2020-11-10","29","0","0","4207","1","17.2857142857142","0"
"01-04 years","2020-11-11","17","0","0","4224","1","17.4285714285714","0"
"01-04 years","2020-11-12","31","0","0","4255","1","19.4285714285714","0"
"01-04 years","2020-11-13","33","0","0","4288","1","22.1428571428571","0"
"01-04 years","2020-11-14","34","0","1","4322","1","23.2857142857142","0"
"01-04 years","2020-11-15","30","0","1","4352","1","26","0"
"01-04 years","2020-11-16","11","0","1","4363","1","26.4285714285714","0"
"01-04 years","2020-11-17","26","0","1","4389","1","26","0"
"01-04 years","2020-11-18","29","0","0","4418","1","27.7142857142857","0"
"01-04 years","2020-11-19","13","0","0","4431","1","25.1428571428571","0"
"01-04 years","2020-11-20","39","0","0","4470","1","26","0"
"01-04 years","2020-11-21","36","0","0","4506","1","26.2857142857142","0"
"01-04 years","2020-11-22","40","0","1","4546","1","27.7142857142857","0"
"01-04 years","2020-11-23","14","0","0","4560","1","28.1428571428571","0"
"01-04 years","2020-11-24","23","0","0","4583","1","27.7142857142857","0"
"01-04 years","2020-11-25","28","0","1","4611","1","27.5714285714285","0"
"01-04 years","2020-11-26","32","0","0","4643","1","30.2857142857142","0"
"01-04 years","2020-11-27","20","0","0","4663","1","27.5714285714285","0"
"01-04 years","2020-11-28","31","0","0","4694","1","26.8571428571428","0"
"01-04 years","2020-11-29","16","0","0","4710","1","23.4285714285714","0"
"01-04 years","2020-11-30","10","0","1","4720","1","22.8571428571428","0"
"01-04 years","2020-12-01","35","0","1","4755","1","24.5714285714285","0"
"01-04 years","2020-12-02","30","0","0","4785","1","24.8571428571428","0"
"01-04 years","2020-12-03","55","0","0","4840","1","28.1428571428571","0"
"01-04 years","2020-12-04","82","0","0","4922","1","37","0"
"01-04 years","2020-12-05","61","0","1","4983","1","41.2857142857142","0"
"01-04 years","2020-12-06","28","0","0","5011","1","43","0"
"01-04 years","2020-12-07","45","0","1","5056","1","48","0"
"01-04 years","2020-12-08","47","0","1","5103","1","49.7142857142857","0"
"01-04 years","2020-12-09","56","0","1","5159","1","53.4285714285714","0"
"01-04 years","2020-12-10","98","0","0","5257","1","59.5714285714285","0"
"01-04 years","2020-12-11","75","0","1","5332","1","58.5714285714285","0"
"01-04 years","2020-12-12","40","0","3","5372","1","55.5714285714285","0"
"01-04 years","2020-12-13","68","0","1","5440","1","61.2857142857142","0"
"01-04 years","2020-12-14","32","0","0","5472","1","59.4285714285714","0"
"01-04 years","2020-12-15","65","0","0","5537","1","62","0"
"01-04 years","2020-12-16","64","0","2","5601","1","63.1428571428571","0"
"01-04 years","2020-12-17","72","0","1","5673","1","59.4285714285714","0"
"01-04 years","2020-12-18","79","0","3","5752","1","60","0"
"01-04 years","2020-12-19","46","0","0","5798","1","60.8571428571428","0"
"01-04 years","2020-12-20","71","0","1","5869","1","61.2857142857142","0"
"01-04 years","2020-12-21","29","0","1","5898","1","60.8571428571428","0"
"01-04 years","2020-12-22","74","0","4","5972","1","62.1428571428571","0"
"01-04 years","2020-12-23","52","0","0","6024","1","60.4285714285714","0"
"01-04 years","2020-12-24","118","0","0","6142","1","67","0"
"01-04 years","2020-12-25","68","0","1","6210","1","65.4285714285714","0"
"01-04 years","2020-12-26","47","0","2","6257","1","65.5714285714285","0"
"01-04 years","2020-12-27","24","0","0","6281","1","58.8571428571428","0"
"01-04 years","2020-12-28","34","0","0","6315","1","59.5714285714285","0"
"01-04 years","2020-12-29","47","0","1","6362","1","55.7142857142857","0"
"01-04 years","2020-12-30","60","0","0","6422","1","56.8571428571428","0"
"01-04 years","2020-12-31","108","0","1","6530","1","55.4285714285714","0"
"01-04 years","2021-01-01","98","0","2","6628","1","59.7142857142857","0"
"01-04 years","2021-01-02","82","0","0","6710","1","64.7142857142857","0"
"01-04 years","2021-01-03","64","0","1","6774","1","70.4285714285714","0"
"01-04 years","2021-01-04","25","0","1","6799","1","69.1428571428571","0"
"01-04 years","2021-01-05","78","0","1","6877","1","73.5714285714285","0"
"01-04 years","2021-01-06","101","0","2","6978","1","79.4285714285714","0"
"01-04 years","2021-01-07","61","0","1","7039","1","72.7142857142857","0"
"01-04 years","2021-01-08","143","0","4","7182","1","79.1428571428571","0"
"01-04 years","2021-01-09","118","0","2","7300","1","84.2857142857143","0"
"01-04 years","2021-01-10","102","0","0","7402","1","89.7142857142857","0"
"01-04 years","2021-01-11","77","0","0","7479","1","97.1428571428571","0"
"01-04 years","2021-01-12","67","0","1","7546","1","95.5714285714285","0"
"01-04 years","2021-01-13","71","0","2","7617","1","91.2857142857143","0"
"01-04 years","2021-01-14","114","0","2","7731","1","98.8571428571428","0"
"01-04 years","2021-01-15","103","0","2","7834","1","93.1428571428571","0"
"01-04 years","2021-01-16","87","0","0","7921","1","88.7142857142857","0"
"01-04 years","2021-01-17","82","0","0","8003","1","85.8571428571428","0"
"01-04 years","2021-01-18","58","0","1","8061","1","83.1428571428571","0"
"01-04 years","2021-01-19","63","0","0","8124","1","82.5714285714285","0"
"01-04 years","2021-01-20","68","0","3","8192","1","82.1428571428571","0"
"01-04 years","2021-01-21","90","0","2","8282","1","78.7142857142857","0"
"01-04 years","2021-01-22","92","0","2","8374","1","77.1428571428571","0"
"01-04 years","2021-01-23","88","0","4","8462","1","77.2857142857143","0"
"01-04 years","2021-01-24","77","0","0","8539","1","76.5714285714285","0"
"01-04 years","2021-01-25","43","0","1","8582","1","74.4285714285714","0"
"01-04 years","2021-01-26","76","0","0","8658","1","76.2857142857143","0"
"01-04 years","2021-01-27","70","0","0","8728","1","76.5714285714285","0"
"01-04 years","2021-01-28","105","0","0","8833","1","78.7142857142857","0"
"01-04 years","2021-01-29","83","0","3","8916","1","77.4285714285714","0"
"01-04 years","2021-01-30","82","0","1","8998","1","76.5714285714285","0"
"01-04 years","2021-01-31","64","0","1","9062","1","74.7142857142857","0"
"01-04 years","2021-02-01","38","0","1","9100","1","74","0"
"01-04 years","2021-02-02","45","0","0","9145","1","69.5714285714285","0"
"01-04 years","2021-02-03","62","0","1","9207","1","68.4285714285714","0"
"01-04 years","2021-02-04","59","0","0","9266","1","61.8571428571428","0"
"01-04 years","2021-02-05","78","0","2","9344","1","61.1428571428571","0"
"01-04 years","2021-02-06","48","0","0","9392","1","56.2857142857142","0"
"01-04 years","2021-02-07","49","0","0","9441","1","54.1428571428571","0"
"01-04 years","2021-02-08","32","0","1","9473","1","53.2857142857142","0"
"01-04 years","2021-02-09","62","0","3","9535","1","55.7142857142857","0"
"01-04 years","2021-02-10","51","0","2","9586","1","54.1428571428571","0"
"01-04 years","2021-02-11","42","0","1","9628","1","51.7142857142857","0"
"01-04 years","2021-02-12","47","0","3","9675","1","47.2857142857142","0"
"01-04 years","2021-02-13","47","0","0","9722","1","47.1428571428571","0"
"01-04 years","2021-02-14","35","0","0","9757","1","45.1428571428571","0"
"01-04 years","2021-02-15","25","0","1","9782","1","44.1428571428571","0"
"01-04 years","2021-02-16","35","0","2","9817","1","40.2857142857142","0"
"01-04 years","2021-02-17","31","0","1","9848","1","37.4285714285714","0"
"01-04 years","2021-02-18","48","0","2","9896","1","38.2857142857142","0"
"01-04 years","2021-02-19","49","0","0","9945","1","38.5714285714285","0"
"01-04 years","2021-02-20","39","0","2","9984","1","37.4285714285714","0"
"01-04 years","2021-02-21","25","0","0","10009","1","36","0"
"01-04 years","2021-02-22","26","0","0","10035","1","36.1428571428571","0"
"01-04 years","2021-02-23","29","0","0","10064","1","35.2857142857142","0"
"01-04 years","2021-02-24","46","0","4","10110","1","37.4285714285714","0"
"01-04 years","2021-02-25","37","0","1","10147","1","35.8571428571428","0"
"01-04 years","2021-02-26","36","0","2","10183","1","34","0"
"01-04 years","2021-02-27","35","0","0","10218","1","33.4285714285714","0"
"01-04 years","2021-02-28","22","0","0","10240","1","33","0"
"01-04 years","2021-03-01","25","0","2","10265","1","32.8571428571428","0"
"01-04 years","2021-03-02","19","0","1","10284","1","31.4285714285714","0"
"01-04 years","2021-03-03","18","0","1","10302","1","27.4285714285714","0"
"01-04 years","2021-03-04","31","0","1","10333","1","26.5714285714285","0"
"01-04 years","2021-03-05","24","0","1","10357","1","24.8571428571428","0"
"01-04 years","2021-03-06","35","0","0","10392","1","24.8571428571428","0"
"01-04 years","2021-03-07","23","0","0","10415","1","25","0"
"01-04 years","2021-03-08","15","0","1","10430","1","23.5714285714285","0"
"01-04 years","2021-03-09","21","0","2","10451","1","23.8571428571428","0"
"01-04 years","2021-03-10","31","0","1","10482","1","25.7142857142857","0"
